[84, array([0.4749, 0.0353]), array([0.47249048, 0.03484286]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.4726381 , 0.03484286]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47278571, 0.03484286]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47293333, 0.03484286]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47308095, 0.03484286]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47322857, 0.03484286]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47337619, 0.03484286]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47352381, 0.03484286]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47367143, 0.03484286]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47381905, 0.03484286]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47396667, 0.03484286]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47411429, 0.03484286]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.4742619 , 0.03484286]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47440952, 0.03484286]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47455714, 0.03484286]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47470476, 0.03484286]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47485238, 0.03484286]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.475     , 0.03484286]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.4719    , 0.03499048]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47204762, 0.03499048]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47219524, 0.03499048]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47234286, 0.03499048]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47249048, 0.03499048]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.4726381 , 0.03499048]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47278571, 0.03499048]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47293333, 0.03499048]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47308095, 0.03499048]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47322857, 0.03499048]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47337619, 0.03499048]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47352381, 0.03499048]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47367143, 0.03499048]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47381905, 0.03499048]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47396667, 0.03499048]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47411429, 0.03499048]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.4742619 , 0.03499048]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47440952, 0.03499048]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47455714, 0.03499048]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47470476, 0.03499048]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47485238, 0.03499048]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.475     , 0.03499048]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.4719   , 0.0351381]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47204762, 0.0351381 ]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47219524, 0.0351381 ]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47234286, 0.0351381 ]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47249048, 0.0351381 ]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.4726381, 0.0351381]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47278571, 0.0351381 ]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47293333, 0.0351381 ]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47308095, 0.0351381 ]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47322857, 0.0351381 ]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47337619, 0.0351381 ]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47352381, 0.0351381 ]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47367143, 0.0351381 ]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47381905, 0.0351381 ]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47396667, 0.0351381 ]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47411429, 0.0351381 ]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.4742619, 0.0351381]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47440952, 0.0351381 ]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47455714, 0.0351381 ]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47470476, 0.0351381 ]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47485238, 0.0351381 ]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.475    , 0.0351381]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.4719    , 0.03528571]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47204762, 0.03528571]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47219524, 0.03528571]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47234286, 0.03528571]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47249048, 0.03528571]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.4726381 , 0.03528571]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47278571, 0.03528571]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47293333, 0.03528571]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47308095, 0.03528571]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47322857, 0.03528571]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47337619, 0.03528571]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47352381, 0.03528571]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47367143, 0.03528571]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47381905, 0.03528571]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47396667, 0.03528571]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47411429, 0.03528571]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.4742619 , 0.03528571]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47440952, 0.03528571]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47455714, 0.03528571]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47470476, 0.03528571]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47485238, 0.03528571]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.475     , 0.03528571]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.4719    , 0.03543333]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47204762, 0.03543333]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47219524, 0.03543333]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47234286, 0.03543333]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47249048, 0.03543333]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.4726381 , 0.03543333]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47278571, 0.03543333]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47293333, 0.03543333]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47308095, 0.03543333]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47322857, 0.03543333]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47337619, 0.03543333]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47352381, 0.03543333]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47367143, 0.03543333]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47381905, 0.03543333]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47396667, 0.03543333]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47411429, 0.03543333]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.4742619 , 0.03543333]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47440952, 0.03543333]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47455714, 0.03543333]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47470476, 0.03543333]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47485238, 0.03543333]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.475     , 0.03543333]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.4719    , 0.03558095]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47204762, 0.03558095]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47219524, 0.03558095]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47234286, 0.03558095]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47249048, 0.03558095]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.4726381 , 0.03558095]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47278571, 0.03558095]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47293333, 0.03558095]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47308095, 0.03558095]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47322857, 0.03558095]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47337619, 0.03558095]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47352381, 0.03558095]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47367143, 0.03558095]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47381905, 0.03558095]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47396667, 0.03558095]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47411429, 0.03558095]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.4742619 , 0.03558095]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47440952, 0.03558095]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47455714, 0.03558095]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47470476, 0.03558095]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47485238, 0.03558095]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.475     , 0.03558095]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.4719    , 0.03572857]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47204762, 0.03572857]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47219524, 0.03572857]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47234286, 0.03572857]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47249048, 0.03572857]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.4726381 , 0.03572857]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47278571, 0.03572857]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47293333, 0.03572857]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47308095, 0.03572857]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47322857, 0.03572857]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47337619, 0.03572857]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47352381, 0.03572857]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47367143, 0.03572857]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47381905, 0.03572857]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47396667, 0.03572857]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47411429, 0.03572857]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.4742619 , 0.03572857]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47440952, 0.03572857]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47455714, 0.03572857]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47470476, 0.03572857]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47485238, 0.03572857]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.475     , 0.03572857]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.4719    , 0.03587619]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47204762, 0.03587619]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47219524, 0.03587619]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47234286, 0.03587619]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47249048, 0.03587619]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.4726381 , 0.03587619]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47278571, 0.03587619]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47293333, 0.03587619]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47308095, 0.03587619]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47322857, 0.03587619]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47337619, 0.03587619]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47352381, 0.03587619]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47367143, 0.03587619]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47381905, 0.03587619]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47396667, 0.03587619]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47411429, 0.03587619]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.4742619 , 0.03587619]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47440952, 0.03587619]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47455714, 0.03587619]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47470476, 0.03587619]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47485238, 0.03587619]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.475     , 0.03587619]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.4719    , 0.03602381]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47204762, 0.03602381]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47219524, 0.03602381]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47234286, 0.03602381]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47249048, 0.03602381]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.4726381 , 0.03602381]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47278571, 0.03602381]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47293333, 0.03602381]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47308095, 0.03602381]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47322857, 0.03602381]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47337619, 0.03602381]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47352381, 0.03602381]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47367143, 0.03602381]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47381905, 0.03602381]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47396667, 0.03602381]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47411429, 0.03602381]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.4742619 , 0.03602381]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47440952, 0.03602381]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47455714, 0.03602381]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47470476, 0.03602381]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47485238, 0.03602381]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.475     , 0.03602381]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.4719    , 0.03617143]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47204762, 0.03617143]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47219524, 0.03617143]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47234286, 0.03617143]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47249048, 0.03617143]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.4726381 , 0.03617143]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47278571, 0.03617143]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47293333, 0.03617143]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47308095, 0.03617143]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47322857, 0.03617143]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47337619, 0.03617143]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47352381, 0.03617143]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47367143, 0.03617143]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47381905, 0.03617143]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47396667, 0.03617143]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47411429, 0.03617143]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.4742619 , 0.03617143]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47440952, 0.03617143]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47455714, 0.03617143]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47470476, 0.03617143]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47485238, 0.03617143]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.475     , 0.03617143]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.4719    , 0.03631905]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47204762, 0.03631905]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47219524, 0.03631905]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47234286, 0.03631905]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47249048, 0.03631905]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.4726381 , 0.03631905]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47278571, 0.03631905]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47293333, 0.03631905]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47308095, 0.03631905]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47322857, 0.03631905]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47337619, 0.03631905]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47352381, 0.03631905]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47367143, 0.03631905]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47381905, 0.03631905]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47396667, 0.03631905]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47411429, 0.03631905]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.4742619 , 0.03631905]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47440952, 0.03631905]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47455714, 0.03631905]), 0.7854, 0.0]
[84, array([0.4749, 0.0353]), array([0.47470476, 0.03631905]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.47485238, 0.03631905]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.475     , 0.03631905]), 0.7854, 1.0]
[84, array([0.4749, 0.0353]), array([0.4719    , 0.03646667]), 0.7854, 0.0]
