[82, array([ 0.4792, -0.031 ]), array([ 0.47780476, -0.03090476]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47795238, -0.03090476]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.4781    , -0.03090476]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.475     , -0.03075714]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47514762, -0.03075714]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47529524, -0.03075714]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47544286, -0.03075714]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47559048, -0.03075714]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.4757381 , -0.03075714]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47588571, -0.03075714]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47603333, -0.03075714]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47618095, -0.03075714]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47632857, -0.03075714]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47647619, -0.03075714]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47662381, -0.03075714]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47677143, -0.03075714]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47691905, -0.03075714]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47706667, -0.03075714]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47721429, -0.03075714]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.4773619 , -0.03075714]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47750952, -0.03075714]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47765714, -0.03075714]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47780476, -0.03075714]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47795238, -0.03075714]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.4781    , -0.03075714]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.475     , -0.03060952]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47514762, -0.03060952]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47529524, -0.03060952]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47544286, -0.03060952]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47559048, -0.03060952]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.4757381 , -0.03060952]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47588571, -0.03060952]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47603333, -0.03060952]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47618095, -0.03060952]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47632857, -0.03060952]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47647619, -0.03060952]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47662381, -0.03060952]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47677143, -0.03060952]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47691905, -0.03060952]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47706667, -0.03060952]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47721429, -0.03060952]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.4773619 , -0.03060952]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47750952, -0.03060952]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47765714, -0.03060952]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47780476, -0.03060952]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47795238, -0.03060952]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.4781    , -0.03060952]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.475    , -0.0304619]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47514762, -0.0304619 ]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47529524, -0.0304619 ]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47544286, -0.0304619 ]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47559048, -0.0304619 ]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.4757381, -0.0304619]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47588571, -0.0304619 ]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47603333, -0.0304619 ]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47618095, -0.0304619 ]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47632857, -0.0304619 ]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47647619, -0.0304619 ]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47662381, -0.0304619 ]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47677143, -0.0304619 ]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47691905, -0.0304619 ]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47706667, -0.0304619 ]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47721429, -0.0304619 ]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.4773619, -0.0304619]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47750952, -0.0304619 ]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47765714, -0.0304619 ]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47780476, -0.0304619 ]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47795238, -0.0304619 ]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.4781   , -0.0304619]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.475     , -0.03031429]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47514762, -0.03031429]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47529524, -0.03031429]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47544286, -0.03031429]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47559048, -0.03031429]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.4757381 , -0.03031429]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47588571, -0.03031429]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47603333, -0.03031429]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47618095, -0.03031429]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47632857, -0.03031429]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47647619, -0.03031429]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47662381, -0.03031429]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47677143, -0.03031429]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47691905, -0.03031429]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47706667, -0.03031429]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47721429, -0.03031429]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.4773619 , -0.03031429]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47750952, -0.03031429]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47765714, -0.03031429]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47780476, -0.03031429]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47795238, -0.03031429]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.4781    , -0.03031429]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.475     , -0.03016667]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47514762, -0.03016667]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47529524, -0.03016667]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47544286, -0.03016667]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47559048, -0.03016667]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.4757381 , -0.03016667]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47588571, -0.03016667]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47603333, -0.03016667]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47618095, -0.03016667]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47632857, -0.03016667]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47647619, -0.03016667]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47662381, -0.03016667]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47677143, -0.03016667]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47691905, -0.03016667]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47706667, -0.03016667]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47721429, -0.03016667]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.4773619 , -0.03016667]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47750952, -0.03016667]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47765714, -0.03016667]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47780476, -0.03016667]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47795238, -0.03016667]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.4781    , -0.03016667]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.475     , -0.03001905]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47514762, -0.03001905]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47529524, -0.03001905]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47544286, -0.03001905]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47559048, -0.03001905]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.4757381 , -0.03001905]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47588571, -0.03001905]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47603333, -0.03001905]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47618095, -0.03001905]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47632857, -0.03001905]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47647619, -0.03001905]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47662381, -0.03001905]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47677143, -0.03001905]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47691905, -0.03001905]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47706667, -0.03001905]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47721429, -0.03001905]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.4773619 , -0.03001905]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47750952, -0.03001905]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47765714, -0.03001905]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47780476, -0.03001905]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47795238, -0.03001905]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.4781    , -0.03001905]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.475     , -0.02987143]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47514762, -0.02987143]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47529524, -0.02987143]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47544286, -0.02987143]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47559048, -0.02987143]), 0.7854, 1.0]
