[84, array([ 0.4992, -0.005 ]), array([ 0.4969, -0.0062]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49808095, -0.00605238]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49822857, -0.00605238]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49837619, -0.00605238]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49852381, -0.00605238]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49867143, -0.00605238]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49881905, -0.00605238]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49896667, -0.00605238]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49911429, -0.00605238]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4992619 , -0.00605238]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49940952, -0.00605238]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49955714, -0.00605238]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49970476, -0.00605238]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49985238, -0.00605238]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.5       , -0.00605238]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4969    , -0.00590476]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49704762, -0.00590476]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49719524, -0.00590476]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49734286, -0.00590476]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49749048, -0.00590476]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4976381 , -0.00590476]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49778571, -0.00590476]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49793333, -0.00590476]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49808095, -0.00590476]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49822857, -0.00590476]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49837619, -0.00590476]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49852381, -0.00590476]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49867143, -0.00590476]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49881905, -0.00590476]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49896667, -0.00590476]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49911429, -0.00590476]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4992619 , -0.00590476]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49940952, -0.00590476]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49955714, -0.00590476]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49970476, -0.00590476]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49985238, -0.00590476]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.5       , -0.00590476]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4969    , -0.00575714]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49704762, -0.00575714]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49719524, -0.00575714]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49734286, -0.00575714]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49749048, -0.00575714]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4976381 , -0.00575714]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49778571, -0.00575714]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49793333, -0.00575714]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49808095, -0.00575714]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49822857, -0.00575714]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49837619, -0.00575714]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49852381, -0.00575714]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49867143, -0.00575714]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49881905, -0.00575714]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49896667, -0.00575714]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49911429, -0.00575714]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4992619 , -0.00575714]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49940952, -0.00575714]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49955714, -0.00575714]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49970476, -0.00575714]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49985238, -0.00575714]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.5       , -0.00575714]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4969    , -0.00560952]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49704762, -0.00560952]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49719524, -0.00560952]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49734286, -0.00560952]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49749048, -0.00560952]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4976381 , -0.00560952]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49778571, -0.00560952]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49793333, -0.00560952]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49808095, -0.00560952]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49822857, -0.00560952]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49837619, -0.00560952]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49852381, -0.00560952]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49867143, -0.00560952]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49881905, -0.00560952]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49896667, -0.00560952]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49911429, -0.00560952]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4992619 , -0.00560952]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49940952, -0.00560952]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49955714, -0.00560952]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49970476, -0.00560952]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49985238, -0.00560952]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.5       , -0.00560952]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4969   , -0.0054619]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49704762, -0.0054619 ]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49719524, -0.0054619 ]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49734286, -0.0054619 ]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49749048, -0.0054619 ]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4976381, -0.0054619]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49778571, -0.0054619 ]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49793333, -0.0054619 ]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49808095, -0.0054619 ]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49822857, -0.0054619 ]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49837619, -0.0054619 ]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49852381, -0.0054619 ]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49867143, -0.0054619 ]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49881905, -0.0054619 ]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49896667, -0.0054619 ]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49911429, -0.0054619 ]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4992619, -0.0054619]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49940952, -0.0054619 ]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49955714, -0.0054619 ]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49970476, -0.0054619 ]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49985238, -0.0054619 ]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.5      , -0.0054619]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4969    , -0.00531429]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49704762, -0.00531429]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49719524, -0.00531429]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49734286, -0.00531429]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49749048, -0.00531429]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4976381 , -0.00531429]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49778571, -0.00531429]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49793333, -0.00531429]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49808095, -0.00531429]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49822857, -0.00531429]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49837619, -0.00531429]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49852381, -0.00531429]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49867143, -0.00531429]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49881905, -0.00531429]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49896667, -0.00531429]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49911429, -0.00531429]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4992619 , -0.00531429]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49940952, -0.00531429]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49955714, -0.00531429]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49970476, -0.00531429]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49985238, -0.00531429]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.5       , -0.00531429]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4969    , -0.00516667]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49704762, -0.00516667]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49719524, -0.00516667]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49734286, -0.00516667]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49749048, -0.00516667]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4976381 , -0.00516667]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49778571, -0.00516667]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49793333, -0.00516667]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49808095, -0.00516667]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49822857, -0.00516667]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49837619, -0.00516667]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49852381, -0.00516667]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49867143, -0.00516667]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49881905, -0.00516667]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49896667, -0.00516667]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49911429, -0.00516667]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4992619 , -0.00516667]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49940952, -0.00516667]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49955714, -0.00516667]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49970476, -0.00516667]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49985238, -0.00516667]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.5       , -0.00516667]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4969    , -0.00501905]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49704762, -0.00501905]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49719524, -0.00501905]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49734286, -0.00501905]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49749048, -0.00501905]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4976381 , -0.00501905]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49778571, -0.00501905]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49793333, -0.00501905]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49808095, -0.00501905]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49822857, -0.00501905]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49837619, -0.00501905]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49852381, -0.00501905]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49867143, -0.00501905]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49881905, -0.00501905]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49896667, -0.00501905]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49911429, -0.00501905]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4992619 , -0.00501905]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49940952, -0.00501905]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49955714, -0.00501905]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49970476, -0.00501905]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49985238, -0.00501905]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.5       , -0.00501905]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4969    , -0.00487143]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49704762, -0.00487143]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49719524, -0.00487143]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49734286, -0.00487143]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49749048, -0.00487143]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4976381 , -0.00487143]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49778571, -0.00487143]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49793333, -0.00487143]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49808095, -0.00487143]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49822857, -0.00487143]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49837619, -0.00487143]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49852381, -0.00487143]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49867143, -0.00487143]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49881905, -0.00487143]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49896667, -0.00487143]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49911429, -0.00487143]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4992619 , -0.00487143]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49940952, -0.00487143]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49955714, -0.00487143]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49970476, -0.00487143]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49985238, -0.00487143]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.5       , -0.00487143]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4969    , -0.00472381]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49704762, -0.00472381]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49719524, -0.00472381]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49734286, -0.00472381]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49749048, -0.00472381]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4976381 , -0.00472381]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49778571, -0.00472381]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49793333, -0.00472381]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49808095, -0.00472381]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49822857, -0.00472381]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49837619, -0.00472381]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49852381, -0.00472381]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49867143, -0.00472381]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49881905, -0.00472381]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49896667, -0.00472381]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49911429, -0.00472381]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4992619 , -0.00472381]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49940952, -0.00472381]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49955714, -0.00472381]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49970476, -0.00472381]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49985238, -0.00472381]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.5       , -0.00472381]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4969    , -0.00457619]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49704762, -0.00457619]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49719524, -0.00457619]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49734286, -0.00457619]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49749048, -0.00457619]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4976381 , -0.00457619]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49778571, -0.00457619]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49793333, -0.00457619]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49808095, -0.00457619]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49822857, -0.00457619]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49837619, -0.00457619]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49852381, -0.00457619]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49867143, -0.00457619]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49881905, -0.00457619]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49896667, -0.00457619]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49911429, -0.00457619]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4992619 , -0.00457619]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49940952, -0.00457619]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49955714, -0.00457619]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49970476, -0.00457619]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49985238, -0.00457619]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.5       , -0.00457619]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4969    , -0.00442857]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49704762, -0.00442857]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49719524, -0.00442857]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49734286, -0.00442857]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49749048, -0.00442857]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.4976381 , -0.00442857]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49778571, -0.00442857]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49793333, -0.00442857]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49808095, -0.00442857]), 0.7854, 0.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49822857, -0.00442857]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49837619, -0.00442857]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49852381, -0.00442857]), 0.7854, 1.0]
[84, array([ 0.4992, -0.005 ]), array([ 0.49867143, -0.00442857]), 0.7854, 1.0]
