[84, array([ 0.5155, -0.004 ]), array([ 0.51530476, -0.00280476]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51545238, -0.00280476]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5156    , -0.00280476]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5125    , -0.00265714]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51264762, -0.00265714]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51279524, -0.00265714]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51294286, -0.00265714]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51309048, -0.00265714]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5132381 , -0.00265714]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51338571, -0.00265714]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51353333, -0.00265714]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51368095, -0.00265714]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51382857, -0.00265714]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51397619, -0.00265714]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51412381, -0.00265714]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51427143, -0.00265714]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51441905, -0.00265714]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51456667, -0.00265714]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51471429, -0.00265714]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5148619 , -0.00265714]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51500952, -0.00265714]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51515714, -0.00265714]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51530476, -0.00265714]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51545238, -0.00265714]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5156    , -0.00265714]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5125    , -0.00250952]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51264762, -0.00250952]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51279524, -0.00250952]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51294286, -0.00250952]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51309048, -0.00250952]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5132381 , -0.00250952]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51338571, -0.00250952]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51353333, -0.00250952]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51368095, -0.00250952]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51382857, -0.00250952]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51397619, -0.00250952]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51412381, -0.00250952]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51427143, -0.00250952]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51441905, -0.00250952]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51456667, -0.00250952]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51471429, -0.00250952]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5148619 , -0.00250952]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51500952, -0.00250952]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51515714, -0.00250952]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51530476, -0.00250952]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51545238, -0.00250952]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5156    , -0.00250952]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5125   , -0.0023619]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51264762, -0.0023619 ]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51279524, -0.0023619 ]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51294286, -0.0023619 ]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51309048, -0.0023619 ]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5132381, -0.0023619]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51338571, -0.0023619 ]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51353333, -0.0023619 ]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51368095, -0.0023619 ]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51382857, -0.0023619 ]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51397619, -0.0023619 ]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51412381, -0.0023619 ]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51427143, -0.0023619 ]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51441905, -0.0023619 ]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51456667, -0.0023619 ]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51471429, -0.0023619 ]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5148619, -0.0023619]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51500952, -0.0023619 ]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51515714, -0.0023619 ]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51530476, -0.0023619 ]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51545238, -0.0023619 ]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5156   , -0.0023619]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5125    , -0.00221429]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51264762, -0.00221429]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51279524, -0.00221429]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51294286, -0.00221429]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51309048, -0.00221429]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5132381 , -0.00221429]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51338571, -0.00221429]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51353333, -0.00221429]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51368095, -0.00221429]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51382857, -0.00221429]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51397619, -0.00221429]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51412381, -0.00221429]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51427143, -0.00221429]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51441905, -0.00221429]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51456667, -0.00221429]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51471429, -0.00221429]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5148619 , -0.00221429]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51500952, -0.00221429]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51515714, -0.00221429]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51530476, -0.00221429]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51545238, -0.00221429]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5156    , -0.00221429]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5125    , -0.00206667]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51264762, -0.00206667]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51279524, -0.00206667]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51294286, -0.00206667]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51309048, -0.00206667]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5132381 , -0.00206667]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51338571, -0.00206667]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51353333, -0.00206667]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51368095, -0.00206667]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51382857, -0.00206667]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51397619, -0.00206667]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51412381, -0.00206667]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51427143, -0.00206667]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51441905, -0.00206667]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51456667, -0.00206667]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51471429, -0.00206667]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5148619 , -0.00206667]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51500952, -0.00206667]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51515714, -0.00206667]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51530476, -0.00206667]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51545238, -0.00206667]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5156    , -0.00206667]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5125    , -0.00191905]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51264762, -0.00191905]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51279524, -0.00191905]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51294286, -0.00191905]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51309048, -0.00191905]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5132381 , -0.00191905]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51338571, -0.00191905]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51353333, -0.00191905]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51368095, -0.00191905]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51382857, -0.00191905]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51397619, -0.00191905]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51412381, -0.00191905]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51427143, -0.00191905]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51441905, -0.00191905]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51456667, -0.00191905]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51471429, -0.00191905]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5148619 , -0.00191905]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51500952, -0.00191905]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51515714, -0.00191905]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51530476, -0.00191905]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51545238, -0.00191905]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5156    , -0.00191905]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5125    , -0.00177143]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51264762, -0.00177143]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51279524, -0.00177143]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51294286, -0.00177143]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51309048, -0.00177143]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5132381 , -0.00177143]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51338571, -0.00177143]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51353333, -0.00177143]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51368095, -0.00177143]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51382857, -0.00177143]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51397619, -0.00177143]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51412381, -0.00177143]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51427143, -0.00177143]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51441905, -0.00177143]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51456667, -0.00177143]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51471429, -0.00177143]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5148619 , -0.00177143]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51500952, -0.00177143]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51515714, -0.00177143]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51530476, -0.00177143]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51545238, -0.00177143]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5156    , -0.00177143]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5125    , -0.00162381]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51264762, -0.00162381]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51279524, -0.00162381]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51294286, -0.00162381]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51309048, -0.00162381]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5132381 , -0.00162381]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51338571, -0.00162381]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51353333, -0.00162381]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51368095, -0.00162381]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51382857, -0.00162381]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51397619, -0.00162381]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51412381, -0.00162381]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51427143, -0.00162381]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51441905, -0.00162381]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51456667, -0.00162381]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51471429, -0.00162381]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5148619 , -0.00162381]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51500952, -0.00162381]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51515714, -0.00162381]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51530476, -0.00162381]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51545238, -0.00162381]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5156    , -0.00162381]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5125    , -0.00147619]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51264762, -0.00147619]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51279524, -0.00147619]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51294286, -0.00147619]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51309048, -0.00147619]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5132381 , -0.00147619]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51338571, -0.00147619]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51353333, -0.00147619]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51368095, -0.00147619]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51382857, -0.00147619]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51397619, -0.00147619]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51412381, -0.00147619]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51427143, -0.00147619]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51441905, -0.00147619]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51456667, -0.00147619]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51471429, -0.00147619]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5148619 , -0.00147619]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51500952, -0.00147619]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51515714, -0.00147619]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51530476, -0.00147619]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51545238, -0.00147619]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5156    , -0.00147619]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5125    , -0.00132857]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51264762, -0.00132857]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51279524, -0.00132857]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51294286, -0.00132857]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51309048, -0.00132857]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.5132381 , -0.00132857]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51338571, -0.00132857]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51353333, -0.00132857]), 0.7854, 1.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51368095, -0.00132857]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51382857, -0.00132857]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51397619, -0.00132857]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51412381, -0.00132857]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51427143, -0.00132857]), 0.7854, 0.0]
[84, array([ 0.5155, -0.004 ]), array([ 0.51441905, -0.00132857]), 0.7854, 1.0]
