[84, array([ 0.5083, -0.0406]), array([ 0.50925238, -0.04185476]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5094    , -0.04185476]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5063    , -0.04170714]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50644762, -0.04170714]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50659524, -0.04170714]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50674286, -0.04170714]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50689048, -0.04170714]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5070381 , -0.04170714]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50718571, -0.04170714]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50733333, -0.04170714]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50748095, -0.04170714]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50762857, -0.04170714]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50777619, -0.04170714]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50792381, -0.04170714]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50807143, -0.04170714]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50821905, -0.04170714]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50836667, -0.04170714]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50851429, -0.04170714]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5086619 , -0.04170714]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50880952, -0.04170714]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50895714, -0.04170714]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50910476, -0.04170714]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50925238, -0.04170714]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5094    , -0.04170714]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5063    , -0.04155952]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50644762, -0.04155952]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50659524, -0.04155952]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50674286, -0.04155952]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50689048, -0.04155952]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5070381 , -0.04155952]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50718571, -0.04155952]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50733333, -0.04155952]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50748095, -0.04155952]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50762857, -0.04155952]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50777619, -0.04155952]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50792381, -0.04155952]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50807143, -0.04155952]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50821905, -0.04155952]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50836667, -0.04155952]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50851429, -0.04155952]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5086619 , -0.04155952]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50880952, -0.04155952]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50895714, -0.04155952]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50910476, -0.04155952]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50925238, -0.04155952]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5094    , -0.04155952]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5063   , -0.0414119]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50644762, -0.0414119 ]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50659524, -0.0414119 ]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50674286, -0.0414119 ]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50689048, -0.0414119 ]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5070381, -0.0414119]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50718571, -0.0414119 ]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50733333, -0.0414119 ]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50748095, -0.0414119 ]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50762857, -0.0414119 ]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50777619, -0.0414119 ]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50792381, -0.0414119 ]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50807143, -0.0414119 ]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50821905, -0.0414119 ]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50836667, -0.0414119 ]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50851429, -0.0414119 ]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5086619, -0.0414119]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50880952, -0.0414119 ]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50895714, -0.0414119 ]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50910476, -0.0414119 ]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50925238, -0.0414119 ]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5094   , -0.0414119]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5063    , -0.04126429]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50644762, -0.04126429]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50659524, -0.04126429]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50674286, -0.04126429]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50689048, -0.04126429]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5070381 , -0.04126429]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50718571, -0.04126429]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50733333, -0.04126429]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50748095, -0.04126429]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50762857, -0.04126429]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50777619, -0.04126429]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50792381, -0.04126429]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50807143, -0.04126429]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50821905, -0.04126429]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50836667, -0.04126429]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50851429, -0.04126429]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5086619 , -0.04126429]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50880952, -0.04126429]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50895714, -0.04126429]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50910476, -0.04126429]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50925238, -0.04126429]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5094    , -0.04126429]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5063    , -0.04111667]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50644762, -0.04111667]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50659524, -0.04111667]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50674286, -0.04111667]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50689048, -0.04111667]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5070381 , -0.04111667]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50718571, -0.04111667]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50733333, -0.04111667]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50748095, -0.04111667]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50762857, -0.04111667]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50777619, -0.04111667]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50792381, -0.04111667]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50807143, -0.04111667]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50821905, -0.04111667]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50836667, -0.04111667]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50851429, -0.04111667]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5086619 , -0.04111667]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50880952, -0.04111667]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50895714, -0.04111667]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50910476, -0.04111667]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50925238, -0.04111667]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5094    , -0.04111667]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5063    , -0.04096905]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50644762, -0.04096905]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50659524, -0.04096905]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50674286, -0.04096905]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50689048, -0.04096905]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5070381 , -0.04096905]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50718571, -0.04096905]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50733333, -0.04096905]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50748095, -0.04096905]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50762857, -0.04096905]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50777619, -0.04096905]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50792381, -0.04096905]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50807143, -0.04096905]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50821905, -0.04096905]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50836667, -0.04096905]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50851429, -0.04096905]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5086619 , -0.04096905]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50880952, -0.04096905]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50895714, -0.04096905]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50910476, -0.04096905]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50925238, -0.04096905]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5094    , -0.04096905]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5063    , -0.04082143]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50644762, -0.04082143]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50659524, -0.04082143]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50674286, -0.04082143]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50689048, -0.04082143]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5070381 , -0.04082143]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50718571, -0.04082143]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50733333, -0.04082143]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50748095, -0.04082143]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50762857, -0.04082143]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50777619, -0.04082143]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50792381, -0.04082143]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50807143, -0.04082143]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50821905, -0.04082143]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50836667, -0.04082143]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50851429, -0.04082143]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5086619 , -0.04082143]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50880952, -0.04082143]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50895714, -0.04082143]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50910476, -0.04082143]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50925238, -0.04082143]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5094    , -0.04082143]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5063    , -0.04067381]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50644762, -0.04067381]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50659524, -0.04067381]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50674286, -0.04067381]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50689048, -0.04067381]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5070381 , -0.04067381]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50718571, -0.04067381]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50733333, -0.04067381]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50748095, -0.04067381]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50762857, -0.04067381]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50777619, -0.04067381]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50792381, -0.04067381]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50807143, -0.04067381]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50821905, -0.04067381]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50836667, -0.04067381]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50851429, -0.04067381]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5086619 , -0.04067381]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50880952, -0.04067381]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50895714, -0.04067381]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50910476, -0.04067381]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50925238, -0.04067381]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5094    , -0.04067381]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5063    , -0.04052619]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50644762, -0.04052619]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50659524, -0.04052619]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50674286, -0.04052619]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50689048, -0.04052619]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5070381 , -0.04052619]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50718571, -0.04052619]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50733333, -0.04052619]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50748095, -0.04052619]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50762857, -0.04052619]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50777619, -0.04052619]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50792381, -0.04052619]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50807143, -0.04052619]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50821905, -0.04052619]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50836667, -0.04052619]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50851429, -0.04052619]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5086619 , -0.04052619]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50880952, -0.04052619]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50895714, -0.04052619]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50910476, -0.04052619]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50925238, -0.04052619]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5094    , -0.04052619]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5063    , -0.04037857]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50644762, -0.04037857]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50659524, -0.04037857]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50674286, -0.04037857]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50689048, -0.04037857]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5070381 , -0.04037857]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50718571, -0.04037857]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50733333, -0.04037857]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50748095, -0.04037857]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50762857, -0.04037857]), 0.7854, 0.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50777619, -0.04037857]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50792381, -0.04037857]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50807143, -0.04037857]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50821905, -0.04037857]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50836667, -0.04037857]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50851429, -0.04037857]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.5086619 , -0.04037857]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50880952, -0.04037857]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50895714, -0.04037857]), 0.7854, 1.0]
[84, array([ 0.5083, -0.0406]), array([ 0.50910476, -0.04037857]), 0.7854, 1.0]
