[84, array([ 0.4984, -0.0483]), array([ 0.5       , -0.04970476]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4969    , -0.04955714]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49704762, -0.04955714]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49719524, -0.04955714]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49734286, -0.04955714]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49749048, -0.04955714]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4976381 , -0.04955714]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49778571, -0.04955714]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49793333, -0.04955714]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49808095, -0.04955714]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49822857, -0.04955714]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49837619, -0.04955714]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49852381, -0.04955714]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49867143, -0.04955714]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49881905, -0.04955714]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49896667, -0.04955714]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49911429, -0.04955714]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4992619 , -0.04955714]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49940952, -0.04955714]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49955714, -0.04955714]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49970476, -0.04955714]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49985238, -0.04955714]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.5       , -0.04955714]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4969    , -0.04940952]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49704762, -0.04940952]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49719524, -0.04940952]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49734286, -0.04940952]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49749048, -0.04940952]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4976381 , -0.04940952]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49778571, -0.04940952]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49793333, -0.04940952]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49808095, -0.04940952]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49822857, -0.04940952]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49837619, -0.04940952]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49852381, -0.04940952]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49867143, -0.04940952]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49881905, -0.04940952]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49896667, -0.04940952]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49911429, -0.04940952]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4992619 , -0.04940952]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49940952, -0.04940952]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49955714, -0.04940952]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49970476, -0.04940952]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49985238, -0.04940952]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.5       , -0.04940952]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4969   , -0.0492619]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49704762, -0.0492619 ]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49719524, -0.0492619 ]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49734286, -0.0492619 ]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49749048, -0.0492619 ]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4976381, -0.0492619]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49778571, -0.0492619 ]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49793333, -0.0492619 ]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49808095, -0.0492619 ]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49822857, -0.0492619 ]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49837619, -0.0492619 ]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49852381, -0.0492619 ]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49867143, -0.0492619 ]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49881905, -0.0492619 ]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49896667, -0.0492619 ]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49911429, -0.0492619 ]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4992619, -0.0492619]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49940952, -0.0492619 ]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49955714, -0.0492619 ]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49970476, -0.0492619 ]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49985238, -0.0492619 ]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.5      , -0.0492619]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4969    , -0.04911429]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49704762, -0.04911429]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49719524, -0.04911429]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49734286, -0.04911429]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49749048, -0.04911429]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4976381 , -0.04911429]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49778571, -0.04911429]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49793333, -0.04911429]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49808095, -0.04911429]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49822857, -0.04911429]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49837619, -0.04911429]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49852381, -0.04911429]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49867143, -0.04911429]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49881905, -0.04911429]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49896667, -0.04911429]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49911429, -0.04911429]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4992619 , -0.04911429]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49940952, -0.04911429]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49955714, -0.04911429]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49970476, -0.04911429]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49985238, -0.04911429]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.5       , -0.04911429]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4969    , -0.04896667]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49704762, -0.04896667]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49719524, -0.04896667]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49734286, -0.04896667]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49749048, -0.04896667]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4976381 , -0.04896667]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49778571, -0.04896667]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49793333, -0.04896667]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49808095, -0.04896667]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49822857, -0.04896667]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49837619, -0.04896667]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49852381, -0.04896667]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49867143, -0.04896667]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49881905, -0.04896667]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49896667, -0.04896667]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49911429, -0.04896667]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4992619 , -0.04896667]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49940952, -0.04896667]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49955714, -0.04896667]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49970476, -0.04896667]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49985238, -0.04896667]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.5       , -0.04896667]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4969    , -0.04881905]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49704762, -0.04881905]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49719524, -0.04881905]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49734286, -0.04881905]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49749048, -0.04881905]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4976381 , -0.04881905]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49778571, -0.04881905]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49793333, -0.04881905]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49808095, -0.04881905]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49822857, -0.04881905]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49837619, -0.04881905]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49852381, -0.04881905]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49867143, -0.04881905]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49881905, -0.04881905]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49896667, -0.04881905]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49911429, -0.04881905]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4992619 , -0.04881905]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49940952, -0.04881905]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49955714, -0.04881905]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49970476, -0.04881905]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49985238, -0.04881905]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.5       , -0.04881905]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4969    , -0.04867143]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49704762, -0.04867143]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49719524, -0.04867143]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49734286, -0.04867143]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49749048, -0.04867143]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4976381 , -0.04867143]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49778571, -0.04867143]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49793333, -0.04867143]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49808095, -0.04867143]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49822857, -0.04867143]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49837619, -0.04867143]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49852381, -0.04867143]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49867143, -0.04867143]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49881905, -0.04867143]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49896667, -0.04867143]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49911429, -0.04867143]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4992619 , -0.04867143]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49940952, -0.04867143]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49955714, -0.04867143]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49970476, -0.04867143]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49985238, -0.04867143]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.5       , -0.04867143]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4969    , -0.04852381]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49704762, -0.04852381]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49719524, -0.04852381]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49734286, -0.04852381]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49749048, -0.04852381]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4976381 , -0.04852381]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49778571, -0.04852381]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49793333, -0.04852381]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49808095, -0.04852381]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49822857, -0.04852381]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49837619, -0.04852381]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49852381, -0.04852381]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49867143, -0.04852381]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49881905, -0.04852381]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49896667, -0.04852381]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49911429, -0.04852381]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4992619 , -0.04852381]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49940952, -0.04852381]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49955714, -0.04852381]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49970476, -0.04852381]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49985238, -0.04852381]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.5       , -0.04852381]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4969    , -0.04837619]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49704762, -0.04837619]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49719524, -0.04837619]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49734286, -0.04837619]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49749048, -0.04837619]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4976381 , -0.04837619]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49778571, -0.04837619]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49793333, -0.04837619]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49808095, -0.04837619]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49822857, -0.04837619]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49837619, -0.04837619]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49852381, -0.04837619]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49867143, -0.04837619]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49881905, -0.04837619]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49896667, -0.04837619]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49911429, -0.04837619]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4992619 , -0.04837619]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49940952, -0.04837619]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49955714, -0.04837619]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49970476, -0.04837619]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49985238, -0.04837619]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.5       , -0.04837619]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4969    , -0.04822857]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49704762, -0.04822857]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49719524, -0.04822857]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49734286, -0.04822857]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49749048, -0.04822857]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4976381 , -0.04822857]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49778571, -0.04822857]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49793333, -0.04822857]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49808095, -0.04822857]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49822857, -0.04822857]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49837619, -0.04822857]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49852381, -0.04822857]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49867143, -0.04822857]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49881905, -0.04822857]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49896667, -0.04822857]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49911429, -0.04822857]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.4992619 , -0.04822857]), 0.7854, 1.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49940952, -0.04822857]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49955714, -0.04822857]), 0.7854, 0.0]
[84, array([ 0.4984, -0.0483]), array([ 0.49970476, -0.04822857]), 0.7854, 0.0]
