[82, array([0.4687, 0.0155]), array([0.45475, 0.0094 ]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46663571, 0.01014286]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46737857, 0.01014286]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46812143, 0.01014286]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46886429, 0.01014286]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46960714, 0.01014286]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.47035   , 0.01014286]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45475   , 0.01088571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45549286, 0.01088571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45623571, 0.01088571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45697857, 0.01088571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45772143, 0.01088571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45846429, 0.01088571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45920714, 0.01088571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45995   , 0.01088571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46069286, 0.01088571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46143571, 0.01088571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46217857, 0.01088571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46292143, 0.01088571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46366429, 0.01088571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46440714, 0.01088571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46515   , 0.01088571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46589286, 0.01088571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46663571, 0.01088571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46737857, 0.01088571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46812143, 0.01088571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46886429, 0.01088571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46960714, 0.01088571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.47035   , 0.01088571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45475   , 0.01162857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45549286, 0.01162857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45623571, 0.01162857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45697857, 0.01162857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45772143, 0.01162857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45846429, 0.01162857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45920714, 0.01162857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45995   , 0.01162857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46069286, 0.01162857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46143571, 0.01162857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46217857, 0.01162857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46292143, 0.01162857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46366429, 0.01162857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46440714, 0.01162857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46515   , 0.01162857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46589286, 0.01162857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46663571, 0.01162857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46737857, 0.01162857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46812143, 0.01162857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46886429, 0.01162857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46960714, 0.01162857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.47035   , 0.01162857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45475   , 0.01237143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45549286, 0.01237143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45623571, 0.01237143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45697857, 0.01237143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45772143, 0.01237143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45846429, 0.01237143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45920714, 0.01237143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45995   , 0.01237143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46069286, 0.01237143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46143571, 0.01237143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46217857, 0.01237143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46292143, 0.01237143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46366429, 0.01237143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46440714, 0.01237143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46515   , 0.01237143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46589286, 0.01237143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46663571, 0.01237143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46737857, 0.01237143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46812143, 0.01237143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46886429, 0.01237143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46960714, 0.01237143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.47035   , 0.01237143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45475   , 0.01311429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45549286, 0.01311429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45623571, 0.01311429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45697857, 0.01311429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45772143, 0.01311429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45846429, 0.01311429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45920714, 0.01311429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45995   , 0.01311429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46069286, 0.01311429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46143571, 0.01311429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46217857, 0.01311429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46292143, 0.01311429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46366429, 0.01311429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46440714, 0.01311429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46515   , 0.01311429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46589286, 0.01311429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46663571, 0.01311429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46737857, 0.01311429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46812143, 0.01311429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46886429, 0.01311429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46960714, 0.01311429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.47035   , 0.01311429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45475   , 0.01385714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45549286, 0.01385714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45623571, 0.01385714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45697857, 0.01385714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45772143, 0.01385714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45846429, 0.01385714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45920714, 0.01385714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45995   , 0.01385714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46069286, 0.01385714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46143571, 0.01385714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46217857, 0.01385714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46292143, 0.01385714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46366429, 0.01385714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46440714, 0.01385714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46515   , 0.01385714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46589286, 0.01385714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46663571, 0.01385714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46737857, 0.01385714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46812143, 0.01385714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46886429, 0.01385714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46960714, 0.01385714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.47035   , 0.01385714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45475, 0.0146 ]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45549286, 0.0146    ]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45623571, 0.0146    ]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45697857, 0.0146    ]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45772143, 0.0146    ]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45846429, 0.0146    ]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45920714, 0.0146    ]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45995, 0.0146 ]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46069286, 0.0146    ]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46143571, 0.0146    ]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46217857, 0.0146    ]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46292143, 0.0146    ]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46366429, 0.0146    ]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46440714, 0.0146    ]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46515, 0.0146 ]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46589286, 0.0146    ]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46663571, 0.0146    ]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46737857, 0.0146    ]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46812143, 0.0146    ]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46886429, 0.0146    ]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46960714, 0.0146    ]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.47035, 0.0146 ]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45475   , 0.01534286]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45549286, 0.01534286]), 0.7854, 0.0]
[82, array([0.4687, 0.0155]), array([0.45623571, 0.01534286]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45697857, 0.01534286]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45772143, 0.01534286]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45846429, 0.01534286]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45920714, 0.01534286]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45995   , 0.01534286]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46069286, 0.01534286]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46143571, 0.01534286]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46217857, 0.01534286]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46292143, 0.01534286]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46366429, 0.01534286]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46440714, 0.01534286]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46515   , 0.01534286]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46589286, 0.01534286]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46663571, 0.01534286]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46737857, 0.01534286]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46812143, 0.01534286]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46886429, 0.01534286]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46960714, 0.01534286]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.47035   , 0.01534286]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45475   , 0.01608571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45549286, 0.01608571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45623571, 0.01608571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45697857, 0.01608571]), 0.7854, 0.0]
[82, array([0.4687, 0.0155]), array([0.45772143, 0.01608571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45846429, 0.01608571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45920714, 0.01608571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45995   , 0.01608571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46069286, 0.01608571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46143571, 0.01608571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46217857, 0.01608571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46292143, 0.01608571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46366429, 0.01608571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46440714, 0.01608571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46515   , 0.01608571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46589286, 0.01608571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46663571, 0.01608571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46737857, 0.01608571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46812143, 0.01608571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46886429, 0.01608571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46960714, 0.01608571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.47035   , 0.01608571]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45475   , 0.01682857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45549286, 0.01682857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45623571, 0.01682857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45697857, 0.01682857]), 0.7854, 0.0]
[82, array([0.4687, 0.0155]), array([0.45772143, 0.01682857]), 0.7854, 0.0]
[82, array([0.4687, 0.0155]), array([0.45846429, 0.01682857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45920714, 0.01682857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45995   , 0.01682857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46069286, 0.01682857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46143571, 0.01682857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46217857, 0.01682857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46292143, 0.01682857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46366429, 0.01682857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46440714, 0.01682857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46515   , 0.01682857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46589286, 0.01682857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46663571, 0.01682857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46737857, 0.01682857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46812143, 0.01682857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46886429, 0.01682857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46960714, 0.01682857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.47035   , 0.01682857]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45475   , 0.01757143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45549286, 0.01757143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45623571, 0.01757143]), 0.7854, 0.0]
[82, array([0.4687, 0.0155]), array([0.45697857, 0.01757143]), 0.7854, 0.0]
[82, array([0.4687, 0.0155]), array([0.45772143, 0.01757143]), 0.7854, 0.0]
[82, array([0.4687, 0.0155]), array([0.45846429, 0.01757143]), 0.7854, 0.0]
[82, array([0.4687, 0.0155]), array([0.45920714, 0.01757143]), 0.7854, 0.0]
[82, array([0.4687, 0.0155]), array([0.45995   , 0.01757143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46069286, 0.01757143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46143571, 0.01757143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46217857, 0.01757143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46292143, 0.01757143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46366429, 0.01757143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46440714, 0.01757143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46515   , 0.01757143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46589286, 0.01757143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46663571, 0.01757143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46737857, 0.01757143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46812143, 0.01757143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46886429, 0.01757143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46960714, 0.01757143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.47035   , 0.01757143]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45475   , 0.01831429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45549286, 0.01831429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45623571, 0.01831429]), 0.7854, 0.0]
[82, array([0.4687, 0.0155]), array([0.45697857, 0.01831429]), 0.7854, 0.0]
[82, array([0.4687, 0.0155]), array([0.45772143, 0.01831429]), 0.7854, 0.0]
[82, array([0.4687, 0.0155]), array([0.45846429, 0.01831429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45920714, 0.01831429]), 0.7854, 0.0]
[82, array([0.4687, 0.0155]), array([0.45995   , 0.01831429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46069286, 0.01831429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46143571, 0.01831429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46217857, 0.01831429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46292143, 0.01831429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46366429, 0.01831429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46440714, 0.01831429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46515   , 0.01831429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46589286, 0.01831429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46663571, 0.01831429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46737857, 0.01831429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46812143, 0.01831429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46886429, 0.01831429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46960714, 0.01831429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.47035   , 0.01831429]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45475   , 0.01905714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45549286, 0.01905714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45623571, 0.01905714]), 0.7854, 0.0]
[82, array([0.4687, 0.0155]), array([0.45697857, 0.01905714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45772143, 0.01905714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45846429, 0.01905714]), 0.7854, 0.0]
[82, array([0.4687, 0.0155]), array([0.45920714, 0.01905714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45995   , 0.01905714]), 0.7854, 0.0]
[82, array([0.4687, 0.0155]), array([0.46069286, 0.01905714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46143571, 0.01905714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46217857, 0.01905714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46292143, 0.01905714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46366429, 0.01905714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46440714, 0.01905714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46515   , 0.01905714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46589286, 0.01905714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46663571, 0.01905714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46737857, 0.01905714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46812143, 0.01905714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46886429, 0.01905714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.46960714, 0.01905714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.47035   , 0.01905714]), 0.7854, 1.0]
[82, array([0.4687, 0.0155]), array([0.45475, 0.0198 ]), 0.7854, 1.0]
