[82, array([ 0.5486, -0.0094]), array([ 0.54675238, -0.01840476]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5469    , -0.01840476]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5438    , -0.01825714]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54394762, -0.01825714]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54409524, -0.01825714]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54424286, -0.01825714]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54439048, -0.01825714]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5445381 , -0.01825714]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54468571, -0.01825714]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54483333, -0.01825714]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54498095, -0.01825714]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54512857, -0.01825714]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54527619, -0.01825714]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54542381, -0.01825714]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54557143, -0.01825714]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54571905, -0.01825714]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54586667, -0.01825714]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54601429, -0.01825714]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5461619 , -0.01825714]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54630952, -0.01825714]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54645714, -0.01825714]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54660476, -0.01825714]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54675238, -0.01825714]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5469    , -0.01825714]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5438    , -0.01810952]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54394762, -0.01810952]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54409524, -0.01810952]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54424286, -0.01810952]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54439048, -0.01810952]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5445381 , -0.01810952]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54468571, -0.01810952]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54483333, -0.01810952]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54498095, -0.01810952]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54512857, -0.01810952]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54527619, -0.01810952]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54542381, -0.01810952]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54557143, -0.01810952]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54571905, -0.01810952]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54586667, -0.01810952]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54601429, -0.01810952]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5461619 , -0.01810952]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54630952, -0.01810952]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54645714, -0.01810952]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54660476, -0.01810952]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54675238, -0.01810952]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5469    , -0.01810952]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5438   , -0.0179619]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54394762, -0.0179619 ]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54409524, -0.0179619 ]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54424286, -0.0179619 ]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54439048, -0.0179619 ]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5445381, -0.0179619]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54468571, -0.0179619 ]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54483333, -0.0179619 ]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54498095, -0.0179619 ]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54512857, -0.0179619 ]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54527619, -0.0179619 ]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54542381, -0.0179619 ]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54557143, -0.0179619 ]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54571905, -0.0179619 ]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54586667, -0.0179619 ]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54601429, -0.0179619 ]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5461619, -0.0179619]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54630952, -0.0179619 ]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54645714, -0.0179619 ]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54660476, -0.0179619 ]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54675238, -0.0179619 ]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5469   , -0.0179619]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5438    , -0.01781429]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54394762, -0.01781429]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54409524, -0.01781429]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54424286, -0.01781429]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54439048, -0.01781429]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5445381 , -0.01781429]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54468571, -0.01781429]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54483333, -0.01781429]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54498095, -0.01781429]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54512857, -0.01781429]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54527619, -0.01781429]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54542381, -0.01781429]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54557143, -0.01781429]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54571905, -0.01781429]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54586667, -0.01781429]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54601429, -0.01781429]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5461619 , -0.01781429]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54630952, -0.01781429]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54645714, -0.01781429]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54660476, -0.01781429]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54675238, -0.01781429]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5469    , -0.01781429]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5438    , -0.01766667]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54394762, -0.01766667]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54409524, -0.01766667]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54424286, -0.01766667]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54439048, -0.01766667]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5445381 , -0.01766667]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54468571, -0.01766667]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54483333, -0.01766667]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54498095, -0.01766667]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54512857, -0.01766667]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54527619, -0.01766667]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54542381, -0.01766667]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54557143, -0.01766667]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54571905, -0.01766667]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54586667, -0.01766667]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54601429, -0.01766667]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5461619 , -0.01766667]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54630952, -0.01766667]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54645714, -0.01766667]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54660476, -0.01766667]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54675238, -0.01766667]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5469    , -0.01766667]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5438    , -0.01751905]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54394762, -0.01751905]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54409524, -0.01751905]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54424286, -0.01751905]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54439048, -0.01751905]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5445381 , -0.01751905]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54468571, -0.01751905]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54483333, -0.01751905]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54498095, -0.01751905]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54512857, -0.01751905]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54527619, -0.01751905]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54542381, -0.01751905]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54557143, -0.01751905]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54571905, -0.01751905]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54586667, -0.01751905]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54601429, -0.01751905]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5461619 , -0.01751905]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54630952, -0.01751905]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54645714, -0.01751905]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54660476, -0.01751905]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54675238, -0.01751905]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5469    , -0.01751905]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5438    , -0.01737143]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54394762, -0.01737143]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54409524, -0.01737143]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54424286, -0.01737143]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54439048, -0.01737143]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5445381 , -0.01737143]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54468571, -0.01737143]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54483333, -0.01737143]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54498095, -0.01737143]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54512857, -0.01737143]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54527619, -0.01737143]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54542381, -0.01737143]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54557143, -0.01737143]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54571905, -0.01737143]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54586667, -0.01737143]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54601429, -0.01737143]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5461619 , -0.01737143]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54630952, -0.01737143]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54645714, -0.01737143]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54660476, -0.01737143]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54675238, -0.01737143]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5469    , -0.01737143]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5438    , -0.01722381]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54394762, -0.01722381]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54409524, -0.01722381]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54424286, -0.01722381]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54439048, -0.01722381]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5445381 , -0.01722381]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54468571, -0.01722381]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54483333, -0.01722381]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54498095, -0.01722381]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54512857, -0.01722381]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54527619, -0.01722381]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54542381, -0.01722381]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54557143, -0.01722381]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54571905, -0.01722381]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54586667, -0.01722381]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54601429, -0.01722381]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5461619 , -0.01722381]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54630952, -0.01722381]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54645714, -0.01722381]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54660476, -0.01722381]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54675238, -0.01722381]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5469    , -0.01722381]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5438    , -0.01707619]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54394762, -0.01707619]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54409524, -0.01707619]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54424286, -0.01707619]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54439048, -0.01707619]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5445381 , -0.01707619]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54468571, -0.01707619]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54483333, -0.01707619]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54498095, -0.01707619]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54512857, -0.01707619]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54527619, -0.01707619]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54542381, -0.01707619]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54557143, -0.01707619]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54571905, -0.01707619]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54586667, -0.01707619]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54601429, -0.01707619]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5461619 , -0.01707619]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54630952, -0.01707619]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54645714, -0.01707619]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54660476, -0.01707619]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54675238, -0.01707619]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5469    , -0.01707619]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5438    , -0.01692857]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54394762, -0.01692857]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54409524, -0.01692857]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54424286, -0.01692857]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54439048, -0.01692857]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5445381 , -0.01692857]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54468571, -0.01692857]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54483333, -0.01692857]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54498095, -0.01692857]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54512857, -0.01692857]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54527619, -0.01692857]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54542381, -0.01692857]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54557143, -0.01692857]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54571905, -0.01692857]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54586667, -0.01692857]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54601429, -0.01692857]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.5461619 , -0.01692857]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54630952, -0.01692857]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54645714, -0.01692857]), 0.7854, 1.0]
[82, array([ 0.5486, -0.0094]), array([ 0.54660476, -0.01692857]), 0.7854, 1.0]
