[84, array([ 0.4648, -0.0111]), array([ 0.46390238, -0.01220476]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46405   , -0.01220476]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46095   , -0.01205714]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46109762, -0.01205714]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46124524, -0.01205714]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46139286, -0.01205714]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46154048, -0.01205714]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.4616881 , -0.01205714]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46183571, -0.01205714]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46198333, -0.01205714]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46213095, -0.01205714]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46227857, -0.01205714]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46242619, -0.01205714]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46257381, -0.01205714]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46272143, -0.01205714]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46286905, -0.01205714]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46301667, -0.01205714]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46316429, -0.01205714]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.4633119 , -0.01205714]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46345952, -0.01205714]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46360714, -0.01205714]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46375476, -0.01205714]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46390238, -0.01205714]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46405   , -0.01205714]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46095   , -0.01190952]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46109762, -0.01190952]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46124524, -0.01190952]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46139286, -0.01190952]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46154048, -0.01190952]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.4616881 , -0.01190952]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46183571, -0.01190952]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46198333, -0.01190952]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46213095, -0.01190952]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46227857, -0.01190952]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46242619, -0.01190952]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46257381, -0.01190952]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46272143, -0.01190952]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46286905, -0.01190952]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46301667, -0.01190952]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46316429, -0.01190952]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.4633119 , -0.01190952]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46345952, -0.01190952]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46360714, -0.01190952]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46375476, -0.01190952]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46390238, -0.01190952]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46405   , -0.01190952]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46095  , -0.0117619]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46109762, -0.0117619 ]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46124524, -0.0117619 ]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46139286, -0.0117619 ]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46154048, -0.0117619 ]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.4616881, -0.0117619]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46183571, -0.0117619 ]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46198333, -0.0117619 ]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46213095, -0.0117619 ]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46227857, -0.0117619 ]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46242619, -0.0117619 ]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46257381, -0.0117619 ]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46272143, -0.0117619 ]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46286905, -0.0117619 ]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46301667, -0.0117619 ]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46316429, -0.0117619 ]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.4633119, -0.0117619]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46345952, -0.0117619 ]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46360714, -0.0117619 ]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46375476, -0.0117619 ]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46390238, -0.0117619 ]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46405  , -0.0117619]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46095   , -0.01161429]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46109762, -0.01161429]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46124524, -0.01161429]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46139286, -0.01161429]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46154048, -0.01161429]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.4616881 , -0.01161429]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46183571, -0.01161429]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46198333, -0.01161429]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46213095, -0.01161429]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46227857, -0.01161429]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46242619, -0.01161429]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46257381, -0.01161429]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46272143, -0.01161429]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46286905, -0.01161429]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46301667, -0.01161429]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46316429, -0.01161429]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.4633119 , -0.01161429]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46345952, -0.01161429]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46360714, -0.01161429]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46375476, -0.01161429]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46390238, -0.01161429]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46405   , -0.01161429]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46095   , -0.01146667]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46109762, -0.01146667]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46124524, -0.01146667]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46139286, -0.01146667]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46154048, -0.01146667]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.4616881 , -0.01146667]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46183571, -0.01146667]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46198333, -0.01146667]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46213095, -0.01146667]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46227857, -0.01146667]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46242619, -0.01146667]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46257381, -0.01146667]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46272143, -0.01146667]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46286905, -0.01146667]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46301667, -0.01146667]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46316429, -0.01146667]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.4633119 , -0.01146667]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46345952, -0.01146667]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46360714, -0.01146667]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46375476, -0.01146667]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46390238, -0.01146667]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46405   , -0.01146667]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46095   , -0.01131905]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46109762, -0.01131905]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46124524, -0.01131905]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46139286, -0.01131905]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46154048, -0.01131905]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.4616881 , -0.01131905]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46183571, -0.01131905]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46198333, -0.01131905]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46213095, -0.01131905]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46227857, -0.01131905]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46242619, -0.01131905]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46257381, -0.01131905]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46272143, -0.01131905]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46286905, -0.01131905]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46301667, -0.01131905]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46316429, -0.01131905]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.4633119 , -0.01131905]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46345952, -0.01131905]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46360714, -0.01131905]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46375476, -0.01131905]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46390238, -0.01131905]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46405   , -0.01131905]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46095   , -0.01117143]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46109762, -0.01117143]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46124524, -0.01117143]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46139286, -0.01117143]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46154048, -0.01117143]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.4616881 , -0.01117143]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46183571, -0.01117143]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46198333, -0.01117143]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46213095, -0.01117143]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46227857, -0.01117143]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46242619, -0.01117143]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46257381, -0.01117143]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46272143, -0.01117143]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46286905, -0.01117143]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46301667, -0.01117143]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46316429, -0.01117143]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.4633119 , -0.01117143]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46345952, -0.01117143]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46360714, -0.01117143]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46375476, -0.01117143]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46390238, -0.01117143]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46405   , -0.01117143]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46095   , -0.01102381]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46109762, -0.01102381]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46124524, -0.01102381]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46139286, -0.01102381]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46154048, -0.01102381]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.4616881 , -0.01102381]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46183571, -0.01102381]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46198333, -0.01102381]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46213095, -0.01102381]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46227857, -0.01102381]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46242619, -0.01102381]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46257381, -0.01102381]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46272143, -0.01102381]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46286905, -0.01102381]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46301667, -0.01102381]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46316429, -0.01102381]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.4633119 , -0.01102381]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46345952, -0.01102381]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46360714, -0.01102381]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46375476, -0.01102381]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46390238, -0.01102381]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46405   , -0.01102381]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46095   , -0.01087619]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46109762, -0.01087619]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46124524, -0.01087619]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46139286, -0.01087619]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46154048, -0.01087619]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.4616881 , -0.01087619]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46183571, -0.01087619]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46198333, -0.01087619]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46213095, -0.01087619]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46227857, -0.01087619]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46242619, -0.01087619]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46257381, -0.01087619]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46272143, -0.01087619]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46286905, -0.01087619]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46301667, -0.01087619]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46316429, -0.01087619]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.4633119 , -0.01087619]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46345952, -0.01087619]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46360714, -0.01087619]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46375476, -0.01087619]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46390238, -0.01087619]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46405   , -0.01087619]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46095   , -0.01072857]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46109762, -0.01072857]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46124524, -0.01072857]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46139286, -0.01072857]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46154048, -0.01072857]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.4616881 , -0.01072857]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46183571, -0.01072857]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46198333, -0.01072857]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46213095, -0.01072857]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46227857, -0.01072857]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46242619, -0.01072857]), 0.7854, 1.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46257381, -0.01072857]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46272143, -0.01072857]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46286905, -0.01072857]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46301667, -0.01072857]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46316429, -0.01072857]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.4633119 , -0.01072857]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46345952, -0.01072857]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46360714, -0.01072857]), 0.7854, 0.0]
[84, array([ 0.4648, -0.0111]), array([ 0.46375476, -0.01072857]), 0.7854, 0.0]
