[82, array([ 0.4799, -0.0212]), array([ 0.4781 , -0.02505]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4805381 , -0.02489762]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48069048, -0.02489762]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48084286, -0.02489762]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48099524, -0.02489762]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48114762, -0.02489762]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4813    , -0.02489762]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4781    , -0.02474524]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47825238, -0.02474524]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47840476, -0.02474524]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47855714, -0.02474524]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47870952, -0.02474524]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4788619 , -0.02474524]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47901429, -0.02474524]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47916667, -0.02474524]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47931905, -0.02474524]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47947143, -0.02474524]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47962381, -0.02474524]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47977619, -0.02474524]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47992857, -0.02474524]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48008095, -0.02474524]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48023333, -0.02474524]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48038571, -0.02474524]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4805381 , -0.02474524]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48069048, -0.02474524]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48084286, -0.02474524]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48099524, -0.02474524]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48114762, -0.02474524]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4813    , -0.02474524]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4781    , -0.02459286]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47825238, -0.02459286]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47840476, -0.02459286]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47855714, -0.02459286]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47870952, -0.02459286]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4788619 , -0.02459286]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47901429, -0.02459286]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47916667, -0.02459286]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47931905, -0.02459286]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47947143, -0.02459286]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47962381, -0.02459286]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47977619, -0.02459286]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47992857, -0.02459286]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48008095, -0.02459286]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48023333, -0.02459286]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48038571, -0.02459286]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4805381 , -0.02459286]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48069048, -0.02459286]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48084286, -0.02459286]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48099524, -0.02459286]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48114762, -0.02459286]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4813    , -0.02459286]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4781    , -0.02444048]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47825238, -0.02444048]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47840476, -0.02444048]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47855714, -0.02444048]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47870952, -0.02444048]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4788619 , -0.02444048]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47901429, -0.02444048]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47916667, -0.02444048]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47931905, -0.02444048]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47947143, -0.02444048]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47962381, -0.02444048]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47977619, -0.02444048]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47992857, -0.02444048]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48008095, -0.02444048]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48023333, -0.02444048]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48038571, -0.02444048]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4805381 , -0.02444048]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48069048, -0.02444048]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48084286, -0.02444048]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48099524, -0.02444048]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48114762, -0.02444048]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4813    , -0.02444048]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4781   , -0.0242881]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47825238, -0.0242881 ]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47840476, -0.0242881 ]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47855714, -0.0242881 ]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47870952, -0.0242881 ]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4788619, -0.0242881]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47901429, -0.0242881 ]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47916667, -0.0242881 ]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47931905, -0.0242881 ]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47947143, -0.0242881 ]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47962381, -0.0242881 ]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47977619, -0.0242881 ]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47992857, -0.0242881 ]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48008095, -0.0242881 ]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48023333, -0.0242881 ]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48038571, -0.0242881 ]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4805381, -0.0242881]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48069048, -0.0242881 ]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48084286, -0.0242881 ]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48099524, -0.0242881 ]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48114762, -0.0242881 ]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4813   , -0.0242881]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4781    , -0.02413571]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47825238, -0.02413571]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47840476, -0.02413571]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47855714, -0.02413571]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47870952, -0.02413571]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4788619 , -0.02413571]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47901429, -0.02413571]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47916667, -0.02413571]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47931905, -0.02413571]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47947143, -0.02413571]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47962381, -0.02413571]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47977619, -0.02413571]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47992857, -0.02413571]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48008095, -0.02413571]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48023333, -0.02413571]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48038571, -0.02413571]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4805381 , -0.02413571]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48069048, -0.02413571]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48084286, -0.02413571]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48099524, -0.02413571]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48114762, -0.02413571]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4813    , -0.02413571]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4781    , -0.02398333]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47825238, -0.02398333]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47840476, -0.02398333]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47855714, -0.02398333]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47870952, -0.02398333]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4788619 , -0.02398333]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47901429, -0.02398333]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47916667, -0.02398333]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47931905, -0.02398333]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47947143, -0.02398333]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47962381, -0.02398333]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47977619, -0.02398333]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47992857, -0.02398333]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48008095, -0.02398333]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48023333, -0.02398333]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48038571, -0.02398333]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4805381 , -0.02398333]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48069048, -0.02398333]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48084286, -0.02398333]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48099524, -0.02398333]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48114762, -0.02398333]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4813    , -0.02398333]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4781    , -0.02383095]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47825238, -0.02383095]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47840476, -0.02383095]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47855714, -0.02383095]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47870952, -0.02383095]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4788619 , -0.02383095]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47901429, -0.02383095]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47916667, -0.02383095]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47931905, -0.02383095]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47947143, -0.02383095]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47962381, -0.02383095]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47977619, -0.02383095]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47992857, -0.02383095]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48008095, -0.02383095]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48023333, -0.02383095]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48038571, -0.02383095]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4805381 , -0.02383095]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48069048, -0.02383095]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48084286, -0.02383095]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48099524, -0.02383095]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48114762, -0.02383095]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4813    , -0.02383095]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4781    , -0.02367857]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47825238, -0.02367857]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47840476, -0.02367857]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47855714, -0.02367857]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47870952, -0.02367857]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4788619 , -0.02367857]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47901429, -0.02367857]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47916667, -0.02367857]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47931905, -0.02367857]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47947143, -0.02367857]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47962381, -0.02367857]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47977619, -0.02367857]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47992857, -0.02367857]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48008095, -0.02367857]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48023333, -0.02367857]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48038571, -0.02367857]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4805381 , -0.02367857]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48069048, -0.02367857]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48084286, -0.02367857]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48099524, -0.02367857]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48114762, -0.02367857]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4813    , -0.02367857]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4781    , -0.02352619]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47825238, -0.02352619]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47840476, -0.02352619]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47855714, -0.02352619]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47870952, -0.02352619]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4788619 , -0.02352619]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47901429, -0.02352619]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47916667, -0.02352619]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47931905, -0.02352619]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47947143, -0.02352619]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47962381, -0.02352619]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47977619, -0.02352619]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47992857, -0.02352619]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48008095, -0.02352619]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48023333, -0.02352619]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48038571, -0.02352619]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4805381 , -0.02352619]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48069048, -0.02352619]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48084286, -0.02352619]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48099524, -0.02352619]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48114762, -0.02352619]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4813    , -0.02352619]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4781    , -0.02337381]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47825238, -0.02337381]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47840476, -0.02337381]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47855714, -0.02337381]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47870952, -0.02337381]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4788619 , -0.02337381]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47901429, -0.02337381]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47916667, -0.02337381]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47931905, -0.02337381]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47947143, -0.02337381]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47962381, -0.02337381]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47977619, -0.02337381]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47992857, -0.02337381]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48008095, -0.02337381]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48023333, -0.02337381]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48038571, -0.02337381]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4805381 , -0.02337381]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48069048, -0.02337381]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48084286, -0.02337381]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48099524, -0.02337381]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48114762, -0.02337381]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4813    , -0.02337381]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4781    , -0.02322143]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47825238, -0.02322143]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47840476, -0.02322143]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47855714, -0.02322143]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47870952, -0.02322143]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4788619 , -0.02322143]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47901429, -0.02322143]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47916667, -0.02322143]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47931905, -0.02322143]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47947143, -0.02322143]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47962381, -0.02322143]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47977619, -0.02322143]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.47992857, -0.02322143]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48008095, -0.02322143]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48023333, -0.02322143]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48038571, -0.02322143]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.4805381 , -0.02322143]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48069048, -0.02322143]), 0.7854, 1.0]
[82, array([ 0.4799, -0.0212]), array([ 0.48084286, -0.02322143]), 0.7854, 1.0]
